"%s is out of stock.","%s已下架。"
"Add New Category","新建分类"
"Add New Option","新增属性"
"Add New Product","新建产品"
"Add New Article","添加文章"
"Add New Product Attribute","新建产品属性"
"Add New Product Attribute Set","新建产品属性集"
"Add New Article Attribute","新建文章属性"
"Add New Article Attribute Set","新建文章属性集"
"Add New Rating","新建评分"
"Add New Review","新建评论"
"Add New Root Category","新建根分类"
"Add New Row","新增行"
"Add Review","评价晒单"
"Add to Cart","加入购物车"
"Add to Wishlist","收藏"
"Additional","额外属性"
"Additional Attributes","额外属性"
"Akismet API Key","Akismet API授权码"
"All","全部"
"All Products","所有产品"
"Allow All Products","允许显示所有产品选项"
"All Articles","所有文章"
"Allow All Articles","允许显示所有文章选项"
"Allow Guests to Write Reviews","允许游客评论"
"Allowed Number of Products per Page on Grid","网格模式每页允许产品数量"
"Allowed Number of Products per Page on List","列表模式每页允许产品数量"
"Allowed Number of Articles per Page on Grid","网格模式每页允许产品数量"
"Allowed Number of Articles per Page on List","列表模式每页允许产品数量"
"Allow Qty Below 0","允许数量低于0"
"Append","追加"
"Approved","已批准"
"Article","文章"
"Article Configuration","文章配置"
"Article Infomation","文章信息"
"Article Management","文章管理"
"Backorders","订单拖欠"
"Barcode","条形码"
"Branch %s","%s仓库"
"Buy Now","立即购买"
"Catalog Configuration","产品配置"
"Catalog Management","目录管理"
"Category","分类"
"Category Infomation","分类信息"
"Category Management","分类管理"
"Cart","购物车"
"Comma-separated.","使用逗号分隔"
"Copy Link","复制链接"
"Cross-sells","交叉销售"
"Custom Options","自定义选项"
"Custom Service","客服"
"Default Image","默认图像"
"Default Number of Products per Page on Grid","网格模式默认每页产品数量"
"Default Number of Products per Page on List","列表模式默认每页产品数量"
"Default Number of Articles per Page on Grid","网格模式默认每页产品数量"
"Default Number of Articles per Page on List","列表模式默认每页产品数量"
"Default Status","默认状态"
"Default Category","默认分类"
"Delete Row","删除行"
"Delete Option","删除属性"
"Discussion","讨论"
"Display Settings","显示设置"
"Each Product Belongs to Maximum Count of Categories","每个产品可属于的最大分类数"
"Each Article Belongs to Maximum Count of Categories","每个产品可属于的最大分类数"
"Edit Product","编辑产品"
"Edit Product Attribute","编辑产品属性"
"Edit Product Attribute Set","编辑产品属性集"
"Edit Article","编辑文章"
"Edit Article Attribute","编辑文章属性"
"Edit Article Attribute Set","编辑文章属性集"
"Edit Rating","编辑评分"
"Edit Review","编辑评论"
"Example: sitemap","例如: sitemap"
"Example: ""sitemap/"" or ""/"" for base path (path must be writeable)","例如: ""sitemap/""或""/""(相对于网站根目录，路径必须可写。)"
"Featured Products","推荐产品"
"Featured Articles","推荐文章"
"Fixed","固定"
"Group","组名"
"Images","图像"
"In Stock","有货"
"Inquiries","产品咨询"
"Inventory","库存"
"Maximum Qty","最高购买量"
"Meta Infomation","Meta信息"
"Minimum Qty","最低购买量"
"More","更多"
"MSRP","建议零售价"
"No Backorders","无拖欠订单"
"Not Approved","未批准"
"Old Price","原价"
"Order(s)","交易成功"
"Out of Stock","缺货"
"Percent","百分比"
"Please select the color size","请选择颜色尺寸"
"Press COMMAND+C to copy link.","按COMMAND+C复制链接。"
"Price","价格"
"Price Type","价格类型"
"Product","产品"
"Product ID","产品ID"
"Product Attribute","产品属性"
"Product Attribute Set","产品属性集"
"Product Code","产品代码"
"Product Infomation","产品信息"
"Product Management","产品管理"
"Product Name","产品名称"
"Product Type","产品类型"
"Products only","仅显示产品"
"Article","文章"
"Article ID","文章ID"
"Article Attribute","文章属性"
"Article Attribute Set","文章属性集"
"Article Code","文章代码"
"Article Infomation","文章信息"
"Article Management","文章管理"
"Article Name","文章名称"
"Article Type","文章类型"
"Articles only","仅显示文章"
"Qty Increments","数量步长"
"Qty Uses Decimals","数量使用小数"
"Rating","评分"
"Rating Management","评分管理"
"Recently Added Products","最近加入的产品"
"Regular Price","常规价格"
"Related Products","相关产品"
"Related Articles","相关文章"
"Remove","移除"
"Reply","回复"
"Reserved Qty","库存预留"
"Review(s)","累计评价"
"Review","评价"
"Reviews","产品评价"
"Review Management","评论管理"
"Search","搜索"
"Search Interval","搜索间隔"
"Search Result","搜索结果"
"Search Result: %s","搜索结果: %s"
"Share","分享"
"Share to ","分享到"
"Sign up for API key from <a href=""https://akismet.com/"">Akismet</a>","注册<a href=""https://akismet.com/"">Akismet</a>以获取授权码"
"Simple Product","普通产品"
"Sitemap","站点结构图"
"Special Price","特价"
"Static block only","仅显示静态块"
"Static block and products","显示静态块与产品"
"Subject","主题"
"Submitted Successfully","提交成功"
"Store-category","店铺分类"
"The administrator limits the search interval to %ds, please try it later.","系统管理员将搜索间隔限制为%d秒，请稍后再试。"
"The sitemap has been generated.","站点结构图已生成。"
"There are no products matching the selection.","未找到满足条件的产品"
"There has been no inquiry yet.","暂时没有相关咨询"
"There has been no review yet.","暂时没有相关评价"
"Total","合计"
"Up-sells","向上销售"
"Value","值"
"View %d per page","每页显示%d条"
"Virtual Product","虚拟产品"
"Visitor","游客"
"Warehouse","仓库"
"Whether to show ""All"" option in the ""Show X Per Page"" dropdown.","是否在""每页显示X条""菜单中显示""所有产品""选项"
"Wishlist","收藏"
"You add the category already exists, please re add.","您添加的分类已存在，请重新添加."
