"Add Block","新建块"
"Add Category","新建分类"
"Add New Block","新建块"
"Add New Category","新建分类"
"Add New Page","新建页面"
"Add New Template","新建模板"
"Add Page","新建页面"
"Add Template","新建模板"
"Block Management","块管理"
"Email Template","邮件模板"
"CMS","内容管理"
"Category","分类"
"Category Management","分类管理"
"Content","内容"
"Edit Block","编辑块信息"
"Edit Category","编辑分类信息"
"Edit Page","编辑页面信息"
"Identifier","标识符"
"Message Template","信息模板"
"Meta Keywords","元关键字"
"Meta Description","元描述"
"Page Management","页面管理"
"Parent ID","上级ID"
"Resource","资源"
"Subject","主题"
"Uri Key","Uri关键字"
